ID,Name,Type,X,Y,Width,Height,Voltage
AUTO_BackGround_Layer_dc41e0c9,,BackGround_Layer,0.0,0.0,1124.0,795.0,
TMP00044758,00000败支2#~LINE215_线如切败支3#,交流线段,345.5486874108929,497.3428500167085,0.0,0.7888400061823404,10kV
TMP00044757,00000败支3照1#~LINE215_线如切败支3照2#,交流线段,348.72471998087445,495.0269574668281,0.48491305657262274,0.0,10kV
TMP00044756,00000争2#~LINE215_线LINE365_争3#,交流线段,413.8644775521798,508.33732026987565,2.528009077928857,0.0,10kV
TMP00044755,00000败支31#~LINE215_线况诉败支32#,交流线段,487.2940068384207,556.7045095868175,2.338308074438146,0.0,10kV
TMP00044754,00000败支66#~LINE215_线况诉败支66白1#,交流线段,390.26782104126136,558.6216246853428,0.0,0.6828830781641955,10kV
TMP00044753,00000败支59照1#~LINE215_线况诉败支59照2#,交流线段,417.9578036497245,553.7658059432116,0.0,0.42719206747631233,10kV
TMP00044752,00000败支43#~LINE215_线况诉败支43照1#,交流线段,461.3846194610135,554.5305685143355,0.8931350236998128,0.0,10kV
TMP00044751,00000败支39#~LINE215_线况诉败支39#照1,交流线段,469.44496645805225,559.2160211629471,0.0,0.5932209799331076,10kV
TMP00044750,00000分1#~LINE215_线海半分2#,交流线段,444.6132672387237,501.7868797642963,0.0,0.8926486108703671,10kV
TMP00044749,00000分21#~LINE215_线海半分22#,交流线段,444.6132672387237,453.5763964472466,0.0,0.4576739381226389,10kV
TMP00044748,00000二支1#~LINE215_线海半二支2#,交流线段,434.07225534582386,486.4069519750892,3.99855666460428,0.0,10kV
TMP00044747,00000二支5照4#~LINE215_线海半二支5照5#,交流线段,436.58376692195344,480.65803874366077,0.4853184005971798,0.0,10kV
TMP00044746,00000支3#~LINE215_线海半支3间1#,交流线段,450.65893283052736,492.46372399316556,2.113017865591644,0.0,10kV
TMP00044742,TMP00131373LINE215_线开关－LINE215_线LINE365_1#环网箱101,交流线段,303.7009703160545,508.00526244496194,5.344785238949214,0.3320578249137043,10kV
TMP00044741,TMP00131370#环网箱104-LINE215_线LINE365_1#箱变,交流线段,312.8704196330748,499.2784893371558,4.53507001550247,9.805961038775706,10kV
