element_id,element_type,element_type_cn,x,y,object_id,object_name,psr_type,layer,voltage_level,css_class,stroke_color,is_junction,related_text_count
AUTO_BackGround_Layer_00ca64ad,BackGround_Layer,BackGround_Layer,0.0,0.0,AUTO_BackGround_Layer_00ca64ad,,,BackGround_Layer,,,,False,0
TMP00046604,SurgeArrester_Layer,SurgeArrester_Layer,403.382,109.6099,TMP00046604,避雷器045,0116,SurgeArrester_Layer,10kV,,,False,0
TMP00046603,SurgeArrester_Layer,SurgeArrester_Layer,418.0089,98.1253,TMP00046603,避雷器044,0116,SurgeArrester_Layer,10kV,,,False,0
TMP00046602,SurgeArrester_Layer,SurgeArrester_Layer,431.376,71.7772,TMP00046602,避雷器043,0116,SurgeArrester_Layer,10kV,,,False,0
TMP00046601,SurgeArrester_Layer,SurgeArrester_Layer,460.8046,126.4035,TMP00046601,避雷器042,0116,SurgeArrester_Layer,10kV,,,False,0
TMP00046600,SurgeArrester_Layer,SurgeArrester_Layer,469.3426,129.8988,TMP00046600,避雷器041,0116,SurgeArrester_Layer,10kV,,,False,0
TMP00046599,SurgeArrester_Layer,SurgeArrester_Layer,538.7999,129.8988,TMP00046599,避雷器040,0116,SurgeArrester_Layer,10kV,,,False,0
TMP00046598,SurgeArrester_Layer,SurgeArrester_Layer,548.3237,126.4035,TMP00046598,避雷器039,0116,SurgeArrester_Layer,10kV,,,False,0
TMP00046597,SurgeArrester_Layer,SurgeArrester_Layer,556.551,255.3182,TMP00046597,避雷器038,0116,SurgeArrester_Layer,10kV,,,False,0
TMP00046596,SurgeArrester_Layer,SurgeArrester_Layer,495.8165,291.978,TMP00046596,避雷器037,0116,SurgeArrester_Layer,10kV,,,False,0
TMP00046595,SurgeArrester_Layer,SurgeArrester_Layer,495.8165,298.4924,TMP00046595,避雷器036,0116,SurgeArrester_Layer,10kV,,,False,0
TMP00046594,SurgeArrester_Layer,SurgeArrester_Layer,484.0427,251.7424,TMP00046594,避雷器035,0116,SurgeArrester_Layer,10kV,,,False,0
TMP00046593,SurgeArrester_Layer,SurgeArrester_Layer,459.9003,259.2996,TMP00046593,避雷器034,0116,SurgeArrester_Layer,10kV,,,False,0
TMP00046592,SurgeArrester_Layer,SurgeArrester_Layer,426.3335,255.2377,TMP00046592,避雷器033,0116,SurgeArrester_Layer,10kV,,,False,0
TMP00046591,SurgeArrester_Layer,SurgeArrester_Layer,356.8891,247.88,TMP00046591,避雷器032,0116,SurgeArrester_Layer,10kV,,,False,0
TMP00046590,SurgeArrester_Layer,SurgeArrester_Layer,169.1709,255.5596,TMP00046590,避雷器031,0116,SurgeArrester_Layer,10kV,,,False,0
TMP00046589,SurgeArrester_Layer,SurgeArrester_Layer,143.1357,255.5596,TMP00046589,避雷器030,0116,SurgeArrester_Layer,10kV,,,False,0
TMP00046588,SurgeArrester_Layer,SurgeArrester_Layer,105.256,255.2377,TMP00046588,避雷器029,0116,SurgeArrester_Layer,10kV,,,False,0
