line_id,line_type,line_type_cn,inferred_type,inferred_type_cn,line_color,line_stroke_width,from_element_id,from_element_type,from_element_name,from_terminal,to_element_id,to_element_type,to_element_name,to_terminal
TMP_30b99c0b-3635-4886-906a-f1cc2d0c2d20,Trunk,主干,spare_line,备用线,"rgb(128,128,128)",0.5811011837029015,TMP_0bdf9aee-cee8-4837-bf06-5d15f92f4e9a,Junction,00000败支1#,1,TMP_111aff70-e9bd-4f5e-aad1-c9fadbfd82ec,Breaker,开关00028,1
TMP_4a1a5d07-5f7b-42ce-bef3-800487dfd742,Trunk,主干,spare_line,备用线,"rgb(128,128,128)",0.5811011837029015,TMP_111aff70-e9bd-4f5e-aad1-c9fadbfd82ec,Breaker,开关00028,2,TMP_5f97bda1-6e6f-4087-a5b4-8658104a48d9,Fuse,刀闸0064,1
TMP_f52ddb9b-42ee-49bc-8837-5293eecd0c56,Trunk,主干,spare_line,备用线,"rgb(128,128,128)",0.5811011837029015,TMP_574c2c5c-cd10-4b37-a5da-6a5bd2925325,Fuse,刀闸0065,2,TMP_50c54722-5c03-44cc-9ee1-7a12b0e76353,Junction,TMP00131373#,1
TMP_e46838f8-5624-44ab-bb51-d75a483d15c3,Trunk,主干,spare_line,备用线,"rgb(128,128,128)",0.5811011837029015,TMP_50c54722-5c03-44cc-9ee1-7a12b0e76353,Junction,TMP00131373#,1,TMP_574c2c5c-cd10-4b37-a5da-6a5bd2925325,Fuse,刀闸0065,2
TMP_999db954-0c3a-4f63-9e06-a9d8ca59753f,Trunk,主干,spare_line,备用线,"rgb(128,128,128)",0.5811011837029015,TMP_a9a74a29-89b3-435b-bdfb-08c6dd45aa5a,Junction,00000争1#,1,TMP_8adfa8eb-64e4-4821-943a-0fbc337734a0,Substation,站房000017,1
TMP_744e0d30-a23b-4f70-a34e-2256ed9715e5,Trunk,主干,spare_line,备用线,"rgb(128,128,128)",0.5811011837029015,TMP_cd02dc31-331b-4dda-90e5-34df4ee6036f,Breaker,开关00026,1,TMP_8adfa8eb-64e4-4821-943a-0fbc337734a0,Substation,站房000017,1
TMP_49c7cd79-30f7-4852-8405-30a5b01cf982,Trunk,主干,spare_line,备用线,"rgb(128,128,128)",0.5811011837029015,TMP_fbd386d0-e8f1-4b3c-80f0-6157152109bf,RemoteUnit,故障指示器004,1,TMP_ad0b5fb3-9db9-4a1b-8fcb-6d89dd5f41da,Breaker,开关00017,1
TMP_5702f450-def1-408b-b333-f63da7791c81,Trunk,主干,spare_line,备用线,"rgb(128,128,128)",0.5811011837029015,TMP_16516ff2-fcbe-4c5c-abf0-0540e448097c,Junction,00000示分4#,1,TMP_7215aa34-9a3a-4b61-b156-89c22b204a0f,Junction,00000示1#环网箱102,1
TMP_74a8f4c8-b149-4626-a52b-b96d23890914,Trunk,主干,spare_line,备用线,"rgb(128,128,128)",0.5811011837029015,TMP_4774de0a-2a82-4132-a4f0-702d09d4b572,Breaker,开关00025,2,TMP_a7f9be80-1f47-46af-83c4-2bffa1859df8,Breaker,开关00005,2
TMP_72926750-aa2b-4cff-90cd-8f2eaa065e53,Trunk,主干,spare_line,备用线,"rgb(128,128,128)",0.5811011837029015,TMP_47bd9f70-e15c-4a13-935a-035caca6957f,Junction,00000SUB020_开关站102,1,TMP_708912dc-9ff0-4fae-914c-8eb19868b3a2,Breaker,开关00002,2
