text_id,x,y,content,font_size,color,object_id,related_element_id
TXT-TMP_c06e4ff4-059f-455f-b6b6-7a0f9cafcd48,524.3027,503.9201,开关00050,0.378,"rgb(255,255,255)",TMP00132787,TMP_c06e4ff4-059f-455f-b6b6-7a0f9cafcd48
TXT-TMP_6b6bcc31-8d4f-4c01-88c5-87fb4c9d0d30,377.6949,535.9411,开关00076,0.3892,"rgb(255,255,255)",TMP00132462,TMP_6b6bcc31-8d4f-4c01-88c5-87fb4c9d0d30
TXT-TMP_6491298b-cbc7-46e0-b892-0cb0728b3892,379.6407,535.9411,开关00075,0.3892,"rgb(255,255,255)",TMP00132463,TMP_6491298b-cbc7-46e0-b892-0cb0728b3892
TXT-TMP_aac58e69-10b1-4295-bcf1-457298b65b72,381.5864,535.9411,开关00074,0.3892,"rgb(255,255,255)",TMP00132464,TMP_aac58e69-10b1-4295-bcf1-457298b65b72
TXT-TMP_6ac70eec-e940-4ca9-ad75-64690fd40483,383.5322,535.9411,开关00073,0.3892,"rgb(255,255,255)",TMP00132465,TMP_6ac70eec-e940-4ca9-ad75-64690fd40483
TXT-TMP_fa28c80b-8e8e-4977-aead-bf34cf1beb95,377.2868,495.7446,开关00072,0.3892,"rgb(255,255,255)",TMP00132477,TMP_fa28c80b-8e8e-4977-aead-bf34cf1beb95
TXT-TMP_2c743110-ffe5-4a14-824e-cdf655c53eda,373.3952,495.7446,开关00071,0.3892,"rgb(255,255,255)",TMP00132475,TMP_2c743110-ffe5-4a14-824e-cdf655c53eda
TXT-TMP_a841b5a7-aea9-4fd1-9607-36191a4fd501,375.341,495.7446,开关00070,0.3892,"rgb(255,255,255)",TMP00132476,TMP_a841b5a7-aea9-4fd1-9607-36191a4fd501
TXT-TMP_d996ab29-e841-4fdc-9be4-9b0d1e2b9216,379.2327,495.7446,开关00069,0.3892,"rgb(255,255,255)",TMP00132478,TMP_d996ab29-e841-4fdc-9be4-9b0d1e2b9216
TXT-TMP_8703b48e-845b-4bba-80f2-96b143bfb24e,318.11,496.5018,开关00127,0.4088,"rgb(255,255,255)",TMP00132377,TMP_8703b48e-845b-4bba-80f2-96b143bfb24e
