ConnectionID,StartDevice,EndDevice,PointsCount
TMP00311307,TMP00044441,TMP00044441,2
TMP00311308,TMP00044441,TMP00044441,2
TMP00311309,TMP00044442,TMP00044442,2
TMP00311310,TMP00044442,TMP00044442,2
TMP00311311,TMP00044547,TMP00044547,2
TMP00311312,TMP00044547,TMP00044547,2
TMP00311313,TMP00131784,TMP00131784,2
TMP00311314,TMP00046207,TMP00046207,2
TMP00311315,TMP00043929,TMP00043929,2
TMP00311316,TMP00046266,TMP00046266,2
TMP00311317,TMP00044412,TMP00044412,2
TMP00311318,TMP00046033,TMP00046033,2
TMP00311319,TMP00046073,TMP00046073,2
TMP00311320,TMP00046057,TMP00046057,2
TMP00311321,TMP00046095,TMP00046095,2
TMP00311322,TMP00046058,TMP00046058,2
TMP00311324,TMP00046091,TMP00046091,2
TMP00311326,TMP00046071,TMP00046071,2
TMP00311327,TMP00046071,TMP00046071,2
TMP00311328,TMP00044412,TMP00046086,2
TMP00311329,TMP00046055,TMP00046055,2
TMP00311330,TMP00043941,TMP00043941,2
TMP00311331,TMP00043941,TMP00043941,2
TMP00311332,TMP00046065,TMP00046065,2
TMP00311333,TMP00044407,TMP00046047,2
TMP00311334,TMP00046047,TMP00046047,2
TMP00311335,TMP00044402,TMP00046054,2
TMP00311336,TMP00046031,TMP00046031,2
TMP00311337,TMP00046081,TMP00046081,2
TMP00311338,TMP00046059,TMP00046059,2
TMP00311340,TMP00044547,TMP00046078,2
TMP00311346,TMP00046047,TMP00043938,2
TMP00311350,TMP00131880,TMP00131880,2
TMP00311351,TMP00131880,TMP00048671,2
TMP00311353,TMP00048671,TMP00048671,2
TMP00311354,TMP00044584,TMP00044584,2
TMP00311357,TMP00044584,TMP00044584,2
TMP00311360,TMP00044044,TMP00044545,2
TMP00311363,TMP00044584,TMP00044584,2
TMP00311366,TMP00046052,TMP00046052,2
TMP00311369,TMP00046052,TMP00046052,2
TMP00311372,TMP00044043,TMP00044544,3
TMP00311375,TMP00046052,TMP00046052,2
TMP00311378,TMP00044590,TMP00044590,2
TMP00311381,TMP00044590,TMP00044590,2
TMP00311384,TMP00046077,TMP00046077,2
TMP00311387,TMP00046528,TMP00044559,2
TMP00311390,TMP00044559,TMP00046528,2
TMP00311393,TMP00046527,TMP00044558,2
TMP00311396,TMP00044590,TMP00044590,2
TMP00311399,TMP00044590,TMP00044590,2
TMP00311402,TMP00044592,TMP00044592,2
TMP00311405,TMP00044592,TMP00044592,2
TMP00311408,TMP00046049,TMP00046049,2
TMP00311411,TMP00044601,TMP00044601,4
TMP00311414,TMP00044202,TMP00044567,3
TMP00311417,TMP00044203,TMP00044567,2
TMP00311420,TMP00046537,TMP00044566,2
TMP00311423,TMP00046038,TMP00044454,4
TMP00311426,TMP00046076,TMP00046076,2
TMP00311429,TMP00044569,TMP00044541,4
TMP00311432,TMP00044603,TMP00044603,2
TMP00311435,TMP00044472,TMP00046075,3
TMP00267877,TMP00046075,TMP00046075,2
TMP00311438,TMP00046075,TMP00044551,4
TMP00311441,TMP00044603,TMP00046266,2
TMP00311444,TMP00044213,TMP00044578,2
TMP00311447,TMP00044084,TMP00044522,2
TMP00311323,TMP00046058,TMP00046058,2
TMP00311450,TMP00046058,TMP00046058,2
TMP00311453,TMP00044221,TMP00044580,2
TMP00311456,TMP00046056,TMP00046056,2
TMP00311459,TMP00044120,TMP00044534,2
TMP00311325,TMP00046072,TMP00046091,2
TMP00311462,TMP00046072,TMP00046072,2
TMP00311465,TMP00044080,TMP00044521,2
TMP00311468,TMP00046070,TMP00046070,2
TMP00311471,TMP00046069,TMP00046069,4
TMP00311474,TMP00044225,TMP00044581,2
TMP00311477,TMP00046068,TMP00046068,2
TMP00311480,TMP00044526,TMP00044526,2
TMP00311483,TMP00046066,TMP00044536,2
TMP00311486,TMP00044561,TMP00044526,2
TMP00311489,TMP00043940,TMP00046064,2
TMP00311490,TMP00046064,TMP00046064,2
TMP00311491,TMP00046064,TMP00044549,2
