ID,Name,Type,X,Y,Width,Height,Voltage
AUTO_BackGround_Layer_f36c92df,,BackGround_Layer,0.0,0.0,1124.0,795.0,
TMP00046604,避雷器045,SurgeArrester_Layer,403.38202316800187,109.60990397750504,1.8652570278551985,0.32372229428041177,10kV
TMP00046603,避雷器044,SurgeArrester_Layer,418.00893088432747,98.12525923222711,1.3678284958708897,0.2373917225630868,10kV
TMP00046602,避雷器043,SurgeArrester_Layer,431.3760279942986,71.77723605258966,1.667390755540864,0.28938186683381883,10kV
TMP00046601,避雷器042,SurgeArrester_Layer,460.8046319439694,126.40346027669239,2.0557340027732303,0.3567802816822662,10kV
TMP00046600,避雷器041,SurgeArrester_Layer,469.34260360166445,129.89882956246151,2.0557340027732303,0.3567802816822662,10kV
TMP00046599,避雷器040,SurgeArrester_Layer,538.7999169068144,129.89882956246151,2.0557340027732303,0.3567802816822662,10kV
TMP00046598,避雷器039,SurgeArrester_Layer,548.3236630031442,126.40346027669239,2.0557340027732303,0.3567802816822662,10kV
TMP00046597,避雷器038,SurgeArrester_Layer,556.5510223115036,255.3182176545856,2.0557340027732303,0.3567802816822662,10kV
TMP00046596,避雷器037,SurgeArrester_Layer,495.81652228361776,291.9780325277335,2.0557340027732303,0.3567802816822662,10kV
TMP00046595,避雷器036,SurgeArrester_Layer,495.81652228361776,298.49244297972103,2.0557340027732303,0.3567802816822662,10kV
TMP00046594,避雷器035,SurgeArrester_Layer,484.04269933052154,251.7423611621469,2.0557340027732303,0.3567802816822662,10kV
TMP00046593,避雷器034,SurgeArrester_Layer,459.9003161554245,259.2996205817817,2.0557340027732303,0.3567802816822662,10kV
TMP00046592,避雷器033,SurgeArrester_Layer,426.3334701839975,255.23773936024094,2.0557340027732303,0.3567802816822662,10kV
TMP00046591,避雷器032,SurgeArrester_Layer,356.88906192538263,247.8800268963511,2.0557340027732303,0.3567802816822662,10kV
TMP00046590,避雷器031,SurgeArrester_Layer,169.17090035390171,255.55961688831974,2.0557340027732303,0.3567802816822662,10kV
TMP00046589,避雷器030,SurgeArrester_Layer,143.13569086786367,255.55961688831965,2.0557411639655876,0.35678152453383316,10kV
TMP00046588,避雷器029,SurgeArrester_Layer,105.25597477951032,255.23773936024097,2.0557411639655876,0.35678152453383316,10kV
TMP00046587,避雷器028,SurgeArrester_Layer,177.5425323786346,252.33779359239776,2.0557340027732303,0.3567802816822662,10kV
TMP00046586,避雷器027,SurgeArrester_Layer,177.5425323786346,233.70857463453137,2.0557340027732303,0.3567802816822662,10kV
TMP00046585,避雷器026,SurgeArrester_Layer,174.0470115833412,181.17460781689016,2.0557340027732303,0.3567802816822662,10kV
TMP00046584,避雷器025,SurgeArrester_Layer,266.3178091141817,259.65688003993216,2.0557340027732303,0.3567802816822662,10kV
TMP00046583,避雷器024,SurgeArrester_Layer,265.9960385340024,273.4839778901363,2.0557340027732303,0.3567802816822662,10kV
TMP00046582,避雷器023,SurgeArrester_Layer,370.4554029720502,314.45627073791263,2.0557340027732303,0.3567802816822662,10kV
TMP00046581,避雷器022,SurgeArrester_Layer,373.9507455208445,349.6677258579558,2.0557340027732303,0.3567802816822662,10kV
TMP00046580,避雷器021,SurgeArrester_Layer,370.4554029720502,365.13278426235973,2.0557340027732303,0.3567802816822662,10kV
TMP00046579,避雷器020,SurgeArrester_Layer,373.9507455208445,375.5030942815254,2.0557340027732303,0.3567802816822662,10kV
TMP00046578,避雷器019,SurgeArrester_Layer,434.5376574474738,316.20401331090943,2.0557340027732303,0.3567802816822662,10kV
TMP00046577,避雷器018,SurgeArrester_Layer,446.43657379364,312.70859946351555,2.0557340027732303,0.3567802816822662,10kV
TMP00046576,避雷器017,SurgeArrester_Layer,374.32099914877955,296.05559944119517,2.0557340027732303,0.3567802816822662,10kV
TMP00046575,避雷器016,SurgeArrester_Layer,424.5856563124011,237.72537731644914,2.0557340027732303,0.3567802816822662,10kV
TMP00046574,避雷器015,SurgeArrester_Layer,455.1559647381213,252.3377935923977,2.0557340027732303,0.3567802816822662,10kV
TMP00046573,避雷器014,SurgeArrester_Layer,451.66058654002717,246.862952372474,2.0557340027732303,0.3567802816822662,10kV
TMP00046572,避雷器013,SurgeArrester_Layer,539.6302603982319,115.92369799475296,2.0557340027732303,0.3567802816822662,10kV
TMP00046571,避雷器012,SurgeArrester_Layer,485.9925377842003,129.30339713221068,2.0557340027732303,0.3567802816822662,10kV
TMP00046570,避雷器011,SurgeArrester_Layer,485.9925377842003,152.27124282612374,2.0557340027732303,0.3567802816822662,10kV
TMP00046569,避雷器010,SurgeArrester_Layer,472.88642919821467,121.015505312756,2.0557340027732303,0.3567802816822662,10kV
TMP00046568,避雷器009,SurgeArrester_Layer,62.617210850002834,251.87855931211084,1.7961232980835673,0.3117238783625966,10kV
TMP00046567,避雷器008,SurgeArrester_Layer,414.1629418224994,130.41458580761372,1.773559434081955,0.3078078358476236,10kV
TMP00046566,避雷器007,SurgeArrester_Layer,405.93519037184177,125.53461554146867,1.773559434081955,0.3078078358476236,10kV
TMP00046565,避雷器006,SurgeArrester_Layer,446.83994562110826,99.89471222881451,1.749703922664705,0.3036676231198878,10kV
TMP00046564,避雷器005,SurgeArrester_Layer,439.94914986161666,131.47825396635614,1.7607095168898375,0.30557768492867554,10kV
TMP00046563,避雷器004,SurgeArrester_Layer,435.9461969326792,114.97667434502307,1.7607095168898375,0.30557768492867554,10kV
TMP00045087,TMP00314522LINE216_争1#,交流线段,394.2449650268244,107.04376042853042,8.406960480854877,0.0,10kV
