ConnectionID,StartDevice,EndDevice,PointsCount
TMP00313804,TMP00046145,TMP00314001,4
TMP00313778,TMP00045946,TMP00045946,2
TMP00313807,TMP00314068,TMP00314068,4
TMP00313802,TMP00045952,TMP00045952,2
TMP00313798,TMP00045953,TMP00045953,2
TMP00313810,TMP00044262,TMP00044262,2
TMP00313795,TMP00044263,TMP00044263,2
TMP00313812,TMP00044264,TMP00045954,2
TMP00313814,TMP00044265,TMP00044265,2
TMP00313816,TMP00045960,TMP00045960,2
TMP00313818,TMP00044269,TMP00044269,2
TMP00313820,TMP00046439,TMP00046439,2
TMP00313822,TMP00045962,TMP00045962,2
TMP00313825,TMP00044273,TMP00044273,2
TMP00313773,TMP00045963,TMP00045963,2
TMP00313776,TMP00045946,TMP00045946,2
TMP00313827,TMP00045965,TMP00045965,2
TMP00313769,TMP00045971,TMP00045971,2
TMP00313829,TMP00046457,TMP00045972,2
TMP00313763,TMP00045973,TMP00045973,2
TMP00313831,TMP00045884,TMP00044286,2
TMP00313766,TMP00045975,TMP00045975,2
TMP00313833,TMP00046464,TMP00046464,2
TMP00313835,TMP00044291,TMP00044291,2
TMP00313837,TMP00044292,TMP00044292,2
TMP00313839,TMP00044293,TMP00044293,2
TMP00313757,TMP00045977,TMP00045977,2
TMP00313748,TMP00045978,TMP00045978,2
TMP00313841,TMP00046469,TMP00046469,2
TMP00313843,TMP00044298,TMP00044298,2
TMP00313744,TMP00044299,TMP00044299,2
TMP00313737,TMP00044300,TMP00044300,2
TMP00313845,TMP00046472,TMP00046472,2
TMP00313734,TMP00045981,TMP00045981,2
TMP00313847,TMP00044304,TMP00044304,2
TMP00313849,TMP00046478,TMP00046478,2
TMP00313719,TMP00045986,TMP00045986,2
TMP00313716,TMP00045987,TMP00045987,2
TMP00313851,TMP00044314,TMP00044314,2
TMP00313853,TMP00044315,TMP00044315,2
TMP00313855,TMP00046311,TMP00046311,2
TMP00313857,TMP00046312,TMP00046312,2
TMP00313709,TMP00045989,TMP00045989,2
TMP00313712,TMP00045990,TMP00045990,2
TMP00313694,TMP00045995,TMP00045995,2
TMP00313859,TMP00045996,TMP00045996,2
TMP00313697,TMP00045997,TMP00045997,2
TMP00313703,TMP00045998,TMP00045998,2
TMP00313700,TMP00046003,TMP00046003,2
TMP00313691,TMP00045934,TMP00045934,2
TMP00313684,TMP00046007,TMP00046007,2
